Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
1,337,118,4,4.5,4.5,9.65,1,0.92
1,324,107,4,4,4.5,8.87,1,0.76
1,316,104,3,3,3.5,8,1,0.72
1,322,110,3,3.5,2.5,8.67,1,0.8
1,314,103,2,2,3,8.21,0,0.65
1,330,115,5,4.5,3,9.34,1,0.9
1,321,109,3,3,4,8.2,1,0.75
1,308,101,2,3,4,7.9,0,0.68
1,302,102,1,2,1.5,8,0,0.5
1,323,108,3,3.5,3,8.6,0,0.45
1,325,106,3,3.5,4,8.4,1,0.52
1,327,111,4,4,4.5,9,1,0.84
1,328,112,4,4,4.5,9.1,1,0.78
1,307,109,3,4,3,8,1,0.62
1,311,104,3,3.5,2,8.2,1,0.61
1,314,105,3,3.5,2.5,8.3,0,0.54
1,317,107,3,4,3,8.7,0,0.66
1,319,106,3,4,3,8,1,0.65
1,318,110,3,4,3,8.8,0,0.63
1,303,102,3,3.5,3,8.5,0,0.62
1,312,107,3,3,2,7.9,1,0.64
1,325,114,4,3,2,8.4,0,0.7
1,328,116,5,5,5,9.5,1,0.94
1,334,119,5,5,4.5,9.7,1,0.95
1,336,119,5,4,3.5,9.8,1,0.97
1,340,120,5,4.5,4.5,9.6,1,0.94
1,322,109,5,4.5,3.5,8.8,0,0.76
1,298,98,2,1.5,2.5,7.5,1,0.44
1,295,93,1,2,2,7.2,0,0.46
1,310,99,2,1.5,2,7.3,0,0.54
1,300,97,2,3,3,8.1,1,0.65
1,327,103,3,4,4,8.3,1,0.74
1,338,118,4,3,4.5,9.4,1,0.91
1,340,114,5,4,4,9.6,1,0.9
1,331,112,5,4,5,9.8,1,0.94
1,320,110,5,5,5,9.2,1,0.88
1,299,106,2,4,4,8.4,0,0.64
1,300,105,1,1,2,7.8,0,0.58
1,304,105,1,3,1.5,7.5,0,0.52
1,307,108,2,4,3.5,7.7,0,0.48
1,308,110,3,3.5,3,8,1,0.46
1,316,105,2,2.5,2.5,8.2,1,0.49
1,313,107,2,2.5,2,8.5,1,0.53
1,332,117,4,4.5,4,9.1,0,0.87
1,326,113,5,4.5,4,9.4,1,0.91
1,322,110,5,5,4,9.1,1,0.88
1,329,114,5,4,5,9.3,1,0.86
1,339,119,5,4.5,4,9.7,0,0.89
1,321,110,3,3.5,5,8.85,1,0.82
1,327,111,4,3,4,8.4,1,0.78
1,313,98,3,2.5,4.5,8.3,1,0.76
1,312,100,2,1.5,3.5,7.9,1,0.56
1,334,116,4,4,3,8,1,0.78
1,324,112,4,4,2.5,8.1,1,0.72
1,322,110,3,3,3.5,8,0,0.7
1,320,103,3,3,3,7.7,0,0.64
1,316,102,3,2,3,7.4,0,0.64
1,298,99,2,4,2,7.6,0,0.46
1,300,99,1,3,2,6.8,1,0.36
1,311,104,2,2,2,8.3,0,0.42
1,309,100,2,3,3,8.1,0,0.48
1,307,101,3,4,3,8.2,0,0.47
1,304,105,2,3,3,8.2,1,0.54
1,315,107,2,4,3,8.5,1,0.56
